n,cum_gain_revenue,profit,profit_per_contact
359,162.37344242840635,30.762032728521906,0.08568811344992175
360,162.37344242840635,30.712032728521905,0.08531120202367196
361,162.37344242840635,30.662032728521904,0.08493637874936816
362,162.37344242840635,30.612032728521903,0.08456362632188372
363,162.37344242840635,30.562032728521903,0.0841929276267821
364,162.37344242840635,30.512032728521906,0.08382426573769754
365,162.37344242840635,30.462032728521905,0.08345762391375865
366,162.37344242840635,30.412032728521904,0.08309298559705439
367,162.37344242840635,30.362032728521903,0.08273033441014142
368,162.37344242840635,30.312032728521903,0.08236965415359213
369,162.37344242840635,30.262032728521906,0.0820109288035824
370,162.37344242840635,30.212032728521905,0.08165414250951866
371,162.37344242840635,30.162032728521904,0.08129927959170324
372,162.37344242840635,30.112032728521903,0.08094632453903737
373,162.37344242840635,30.062032728521903,0.08059526200676113
374,162.37344242840635,30.012032728521906,0.0802460768142297
375,162.37344242840635,29.962032728521905,0.07989875394272508
376,162.37344242840635,29.912032728521904,0.07955327853330293
377,162.37344242840635,29.862032728521903,0.07920963588467349
378,162.37344242840635,29.812032728521903,0.07886781145111614
379,162.37344242840635,29.762032728521906,0.07852779084042719
380,162.37344242840635,29.712032728521905,0.07818955981189975
381,162.37344242840635,29.662032728521904,0.0778531042743357
382,162.37344242840635,29.612032728521903,0.07751841028408875
383,162.37344242840635,29.562032728521903,0.07718546404313813
384,162.37344242840635,29.512032728521902,0.07685425189719246
385,162.37344242840635,29.462032728521905,0.07652476033382313
386,162.37344242840635,29.412032728521904,0.07619697598062669
387,162.37344242840635,29.362032728521903,0.07587088560341577
388,162.37344242840635,29.312032728521903,0.07554647610443789
389,162.37344242840635,29.262032728521902,0.07522373452062185
390,162.37344242840635,29.212032728521905,0.07490264802185104
391,162.37344242840635,29.162032728521904,0.07458320390926318
392,162.37344242840635,29.112032728521903,0.07426538961357629
393,162.37344242840635,29.062032728521903,0.07394919269343996
394,162.37344242840635,29.012032728521902,0.07363460083381193
395,162.37344242840635,28.962032728521905,0.07332160184435925
396,162.37344242840635,28.912032728521904,0.0730101836578836
397,162.37344242840635,28.862032728521903,0.07270033432877054
398,162.37344242840635,28.812032728521903,0.07239204203146207
399,162.37344242840635,28.762032728521902,0.07208529505895213
400,162.37344242840635,28.712032728521905,0.07178008182130476
401,162.37344242840635,28.662032728521904,0.07147639084419427
402,162.37344242840635,28.612032728521903,0.07117421076746742
403,162.37344242840635,28.562032728521903,0.0708735303437268
404,162.37344242840635,28.512032728521902,0.0705743384369354
405,162.37344242840635,28.462032728521905,0.07027662402104173
406,162.37344242840635,28.412032728521904,0.06998037617862538
407,162.37344242840635,28.362032728521903,0.06968558409956242
408,162.37344242840635,28.312032728521903,0.06939223707971054
409,162.37344242840635,28.262032728521902,0.06910032451961345
410,162.37344242840635,28.212032728521905,0.06880983592322416
411,162.37344242840635,28.162032728521904,0.06852076089664697
412,162.37344242840635,28.112032728521903,0.06823308914689782
413,162.37344242840635,28.062032728521903,0.06794681048068257
414,162.37344242840635,28.012032728521902,0.067661914803193
415,162.37344242840635,27.962032728521905,0.06737839211692025
416,162.37344242840635,27.912032728521904,0.06709623252048534
417,162.37344242840635,27.862032728521903,0.06681542620748658
418,162.37344242840635,27.812032728521903,0.0665359634653634
419,162.37344242840635,27.762032728521902,0.06625783467427662
420,162.37344242840635,27.712032728521905,0.06598103030600454
421,162.37344242840635,27.662032728521904,0.06570554092285488
422,162.37344242840635,27.612032728521903,0.0654313571765922
423,162.37344242840635,27.562032728521903,0.06515846980738038
424,162.37344242840635,27.512032728521902,0.06488686964274033
425,162.37344242840635,27.462032728521905,0.06461654759652213
426,162.37344242840635,27.412032728521904,0.06434749466789179
427,162.37344242840635,27.362032728521903,0.06407970194033233
428,162.37344242840635,27.312032728521903,0.06381316058065865
429,162.37344242840635,27.262032728521902,0.0635478618380464
430,162.37344242840635,27.212032728521905,0.0632837970430742
431,162.37344242840635,27.162032728521904,0.06302095760677937
432,162.37344242840635,27.112032728521903,0.06275933501972662
433,162.37344242840635,27.062032728521903,0.062498920851089844
434,162.37344242840635,27.012032728521902,0.062239706747746315
435,162.37344242840635,26.962032728521905,0.06198168443338369
436,162.37344242840635,26.912032728521904,0.06172484570761905
437,162.37344242840635,26.862032728521903,0.061469182445130215
438,162.37344242840635,26.812032728521903,0.06121468659479887
439,162.37344242840635,26.762032728521902,0.06096135017886538
440,162.37344242840635,26.712032728521905,0.06070916529209524
441,162.37344242840635,26.662032728521904,0.060458124100956696
442,162.37344242840635,26.612032728521903,0.06020821884280974
443,162.37344242840635,26.562032728521903,0.059959441825105875
444,162.37344242840635,26.512032728521902,0.05971178542459888
445,162.37344242840635,26.462032728521905,0.059465242086566075
446,162.37344242840635,26.412032728521904,0.05921980432404014
